index,main-category,mid-category,sub-category,percentage,description
1,常规型技能,创新类技能,内容策略,10.68%,内容策划 广告策划
2,常规型技能,创新类技能,视觉设计,5.93%,平面设计 美术 PS
3,常规型技能,创新类技能,媒体运营,4.39%,微信 运营 流量
4,常规型技能,创新类技能,产品管理,4.26%,产品管理 产品设计
5,常规型技能,创新类技能,技术素养,3.88%,计算机 硬件 技术
6,常规型技能,创新类技能,多媒体技术,3.08%,影视 画面 音响
7,常规型技能,创新类技能,数据处理,1.91%,数据分析 统计 SPSS
8,常规型技能,创新类技能,受众分析,1.35%,受众研究 受众定位
9,常规型技能,创新类技能,网页设计,0.37%,Web H5 网页制作
10,常规型技能,创新类技能,程序设计,0.18%,Python 代码 程序设计
11,常规型技能,传统类技能,写作能力,4.97%,写作 文案 文字
12,常规型技能,传统类技能,编辑排版,2.72%,编辑 排版 Office
13,常规型技能,传统类技能,新闻报道,1.52%,新闻报道 专题报道
14,常规型技能,传统类技能,摄影摄像,1.33%,摄影 镜头 照片
15,常规型技能,传统类技能,新闻敏感,1.01%,新闻热点 新闻剖析
16,常规型技能,传统类技能,播音播报,0.97%,播音 主持 普通话
17,常规型技能,传统类技能,主持演讲,0.37%,即兴表达 即兴演说
18,常规型技能,传统类技能,研究能力,0.33%,研究方法 社会调查
19,常规型技能,传统类技能,采访调查,0.09%,新闻采访 街头采访
20,适应型技能,自主类技能,个人素养,12.56%,热情 逻辑 批判性思维
21,适应型技能,自主类技能,学科知识,5.41%,传播学 理论知识
22,适应型技能,自主类技能,组织技能,4.65%,活动组织 协调分工
23,适应型技能,自主类技能,其他知识,3.73%,计算机科学 心理学
24,适应型技能,自主类技能,职业道德,2.87%,责任心 品德 法律
25,适应型技能,自主类技能,形象管理,1.61%,形象气质 化妆 礼仪
26,适应型技能,自主类技能,抗压能力,1.40%,抗压性 适应力 毅力
27,适应型技能,自主类技能,外语能力,0.45%,英语 外语口语 外语读写
28,适应型技能,交互类技能,市场营销,11.02%,营销 商务 市场推广
29,适应型技能,交互类技能,关系管理,4.61%,人脉关系 公共关系
30,适应型技能,交互类技能,交际能力,2.30%,交流 沟通 语言表达
31,适应型技能,交互类技能,领导能力,0.03%,领导力 团队管理
